12.3,14 April 2023
12.2,23 March 2023
12.1,15 February 2023
12.0,18 January 2023
0.11.11,7 December 2022
0.11.10,9 November 2022
0.11.9,5 October 2022
0.11.8,7 September 2022
0.11.7,10 August 2022
0.11.6,13 July 2022
0.11.5,15 June 2022
0.11.4,18 May 2022
0.11.3,14 April 2022
0.11.2.1,22 March 2022
0.11.2,17 March 2022
0.11.1,16 February 2022
0.11.0,19 January 2022
0.10.11,8 December 2021
0.10.10,10 November 2021
0.10.9,6 October 2021
0.10.8,8 September 2021
0.10.7,11 August 2021
0.10.6,14 July 2021
0.10.5,16 June 2021
0.10.4,19 May 2021
0.10.3,14 April 2021
0.10.2,17 March 2021
0.10.1,17 February 2021
0.10.0,20 January 2021
0.9.12,21 December 2020
0.9.11,2 December 2020
0.9.10,28 October 2020
0.9.9.1,6 October 2020
0.9.9,30 September 2020
0.9.8,2 September 2020
0.9.7.0.1,18 August 2020
0.9.7,5 August 2020
0.9.6.1,21 July 2020
0.9.6,8 July 2020
0.9.5,10 June 2020
0.9.4,13 May 2020
0.9.3.1,28 April 2020
0.9.3,8 April 2020
0.9.2.1,31 March 2020
0.9.2,11 March 2020
0.9.1.1,19 February 2020
0.9.1,12 February 2020
0.9.0,15 January 2020
0.8.11.1,26 December 2019
0.8.11.0.1,13 December 2019
0.8.11,11 December 2019
0.8.10,13 November 2019
0.8.9.1,29 October 2019
0.8.9,23 October 2019
0.8.8.1,19 September 2019
0.8.8,16 September 2019
0.8.7.1,03 September 2019
0.8.7,21 August 2019
0.8.6,24 July 2019
0.8.5.1,1 July 2019
0.8.5,26 June 2019
0.8.4,29 May 2019
0.8.3,25 April 2019
0.8.2.0.1,10 April 2019
0.8.2,1 April 2019
0.8.1.1,6 March 2019
0.8.1,27 February 2019
0.8.0.3,21 February 2019
0.8.0.2,11 February 2019
0.8.0.1,7 February 2019
0.8.0,30 January 2019
0.7.12,19 December 2018
0.7.11.1,5 December 2018
0.7.11,21 November 2018
0.7.10.2,12 November 2018
0.7.10.1,31 October 2018
0.7.10,17 October 2018
0.7.9.1,27 September 2018
0.7.9,19 September 2018
0.7.8,22 August 2018
0.7.7,25 July 2018
0.7.6,27 June 2018
0.7.5.1,14 June 2018
0.7.5,30 May 2018
0.7.4.1,10 May 2018
0.7.4,25 April 2018
0.7.3,28 March 2018
0.7.2.2,19 March 2018
0.7.2.1,6 March 2018
0.7.2,28 February 2018
0.7.1.1,14 February 2018
0.7.1,7 February 2018
0.7.0.2,24 January 2018
0.7.0.1,18 January 2018
0.7.0,17 January 2018
0.6.15.1.1,9 January 2018
0.6.15.1,27 December 2017
0.6.15,20 December 2017
0.6.14.2,13 December 2017
0.6.14.1,7 December 2017
0.6.14,29 November 2017
0.6.13.1,10 November 2017
0.6.13,8 November 2017
0.6.12.1,25 October 2017
0.6.12.0.1,19 October 2017
0.6.12,18 October 2017
0.6.11.1.1,3 October 2017
0.6.11.1,27 September 2017
0.6.11,20 September 2017
0.6.10.1,13 September 2017
0.6.10,30 August 2017
0.6.9.1.1,24 August 2017
0.6.9.1,22 August 2017
0.6.9,9 August 2017
0.6.8.2,2 August 2017
0.6.8.1,22 July 2017
0.6.8,19 July 2017
0.6.7.1,12 July 2017
0.6.7,28 June 2017
0.6.6.1.1,22 June 2017
